Networks,GCC,ACC,Density,r,ASP,Diameter,M,e
dolphins,0.3087757313109426,0.2589582460550202,0.08408249603384453,-0.04359402821531255,3.3569539925965097,8,0.4954906847039278,0.379214197577
polbooks,0.0,0.0,0.02456140350877193,-0.2525957299430706,4.574618096357227,10,0.5688293457972758,0.256329492161
word_adjacencies,0.15693497881746177,0.1728400798103679,0.06837194337194337,-0.1293478534390013,2.5355534105534105,5,0.29287750865051904,0.442047404547
arenas-email,0.0,0.0,0.003043928393134157,-0.13075707238617096,4.951881066528116,13,0.5816886629706232,0.209983852061
Karate,0.2556818181818182,0.5706384782076823,0.13903743315508021,-0.47561309768461413,2.408199643493761,5,0.41096493693896297,0.492008318479
Erdos Renyi,0.010435368043087971,0.010828465978465969,0.012024048096192385,0.009437218493405121,3.6671495601645057,7,0.3800102222222222,0.293118045615
circuits s208,0.05736137667304015,0.05909445745511318,0.02560628641105541,-0.0020127445270477612,4.927787562660886,11,0.6789563562050333,0.2480517721
circuits s420,0.05167958656330749,0.056084656084656105,0.012616201859229747,-0.005910949785115348,5.806393473724151,13,0.7459783544073215,0.204108419336
circuits s838,0.04836759371221282,0.054650297619047564,0.00626070205479452,-0.030016501872069626,6.858465325342466,15,0.8016350085947155,0.16928889461
E. Coli,0.0,0.0,0.002605287805270335,-0.3381263406380742,4.042293123716115,10,0.5837552586060151,0.245084122301
Barabasi_albert_graph,0.028690448251584136,0.048968024884427364,0.01195190380761523,-0.1234293401748361,3.2445450901803605,6,0.3878635101465039,0.329445691383
facebook 0,0.4258693841944566,0.5082445417696639,0.045569666051593766,0.23603916647565584,3.7527424225050643,11,0.4448906847065124,0.320494477422
facebook 348,0.4902791105177521,0.5442814709697876,0.12780269058295965,0.22269166051622483,2.523462524023062,9,0.24829765123962785,0.478353854621
facebook 414,0.6457982767359352,0.6702920238342573,0.15149888143176735,0.30642105221429466,2.691579334436477,7,0.5437669581393662,0.453556407798
facebook 686,0.45355939944054346,0.5337913395248176,0.11804961505560307,0.08406304044981644,2.4250784145993727,6,0.2896935313542906,0.479507651364
facebook 1684,0.45229119138975005,0.4757300518398768,0.04545793423121181,0.3297739231225192,3.0422572309744105,10,0.5208228370385509,0.368754963454
bn-macaque-rhesus_brain_2,0.0,0.0,0.12191807416035721,-0.8603207604476509,1.9671908367307318,4,0.07887110024747453,0.546803209733
soc-tribes,0.5271317829457365,0.5391865079365079,0.48333333333333334,0.04990476190476244,1.5416666666666667,3,0.1689952437574317,0.7375
fb-pages-food,0.0,0.0,0.004366812227074236,-1.0,1.9956331877729259,2,0.0,0.502183406114
bn-cat-mixed-species_brain_1,0.0,0.0,0.13583780560524747,-0.059372641863665046,2.3552772808586764,5,0.2951917836834523,0.49122242099
soc-firm-hi-tech,0.3719806763285024,0.4533257146893511,0.17234848484848486,-0.08738639605493707,2.359848484848485,5,0.3130660548242966,0.508143939394
