Networks,GCC,Mod,Density,r,ASP,Diameter,Degree,Betweenness,Closeness,Clustering,Random,Inverted PA,,
dolphins,0.75,0.75,0.75,0.5,0.75,0.75,1,1,1,1,1,1,,
polbooks,0.25,1,0.5,0.25,1,0.75,0,0,0,0,0,0,,
word_adjacencies,0.75,0.25,0.75,0.5,0.5,0.25,1,1,1,1,1,1,,
arenas-email,0.25,1,0.25,0.25,1,1,0,1,0,0,0,0,,
Karate,0.75,0.5,1,0.25,0.25,0.25,1,1,1,1,1,1,,
Erdos Renyi,0.5,0.5,0.25,0.75,0.75,0.5,0,1,0,0,1,0,,
circuits s208_st,0.5,1,0.5,0.75,1,1,0,1,0,1,1,1,,
circuits s420_st,0.5,1,0.5,0.75,1,1,0,0,0,0,0,0,,
circuits s838_st,0.5,1,0.25,0.75,1,1,0,0,0,1,1,0,,
E. Coli,0.25,1,0.25,0.25,1,0.75,0,0,0,0,0,0,,
Barabasi_albert_graph,0.5,0.5,0.25,0.5,0.75,0.5,0,1,0,0,0,1,,
facebook0,0.75,0.75,0.5,1,0.75,1,0,0,1,0,0,0,,
facebook107,1,0.75,0.75,1,0.5,0.75,1,0,1,0,0,0,,
facebook348,1,0.25,1,1,0.5,0.75,1,0,1,0,0,0,,
facebook414,1,0.75,1,1,0.5,0.5,0,0,1,0,0,0,,
facebook686,1,0.25,0.75,1,0.5,0.5,1,0,1,1,0,0,,
facebook1684,1,0.75,0.5,1,0.75,0.75,1,0,1,0,0,0,,
bn-macaque-rhesus_brain_2,0.25,0.25,0.75,0.25,0.25,0.25,1,1,0,1,1,0,,
soc-tribes,1,0.25,1,0.75,0.25,0.25,1,1,1,1,1,1,,
fb-pages-food,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,1,1,1,,
bn-cat-mixed-species_brain_1,0.25,0.5,1,0.5,0.25,0.25,1,1,0,0,0,0,,
soc-firm-hi-tech,0.75,0.5,1,0.5,0.25,0.25,1,1,1,1,1,1,,
