,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,sim,dolphins,Karate,soc-tribes,soc-firm-hi-tech,polbooks,word_adjacencies,circuits s208_st,facebook414,facebook686,bn-macaque-rhesus_brain_2,bn-cat-mixed-species_brain_1,circuits s420_st,facebook348,fb-pages-food,Erdos Renyi,circuits s838_st,facebook0,facebook1684,arenas-email,E. Coli,facebook107
0,0,0,0,0,0.0,8.0,5.0,3.0,5.0,10.0,5.0,11.0,7.0,6.0,4.0,5.0,13.0,9.0,2.0,7.0,15.0,6.0,10.0,13.0,10.0,9.0
1,1,1,1,1,0.005,8.0,5.0,3.0,5.0,10.0,5.0,11.2,6.9,6.0,4.0,4.9,13.0,8.9,2.0,7.0,15.2,6.0,10.0,13.0,10.0,9.0
2,2,2,2,2,0.01,8.36,5.0,3.0,5.0,10.1,5.1,11.1,6.9,5.9,4.0,5.0,13.5,9.0,2.0,7.0,15.2,6.0,10.0,13.0,10.0,9.0
3,3,3,3,3,0.015,8.16,5.04,3.0,5.0,10.1,5.0,11.3,7.0,6.0,4.0,5.0,13.0,8.8,2.0,7.0,15.8,6.0,10.0,13.0,10.0,9.0
4,4,4,4,4,0.02,8.16,5.04,3.0,4.96,10.1,5.3,11.4,7.0,6.0,4.0,5.0,13.5,9.0,2.0,7.0,16.6,6.0,10.0,13.0,10.0,9.0
5,5,5,5,5,0.025,8.12,5.0,3.0,5.08,9.8,5.1,11.2,6.7,6.0,4.0,5.0,13.2,8.8,2.0,7.0,16.0,6.0,9.8,12.0,10.0,9.0
6,6,6,6,6,0.03,8.24,4.92,3.0,5.08,10.1,5.1,11.3,6.9,6.1,4.0,4.9,13.8,9.0,2.0,7.0,16.2,6.0,9.6,13.0,10.0,9.0
7,7,7,7,7,0.035,8.32,5.04,2.92,5.0,10.1,5.2,11.6,6.9,6.0,4.0,5.0,13.8,8.9,1.6,7.0,16.0,6.0,9.8,13.0,10.0,8.0
8,8,8,8,8,0.04,7.96,5.0,2.96,5.0,10.5,5.1,11.5,7.0,5.8,4.0,5.0,13.7,8.5,2.0,7.0,16.6,6.0,9.6,13.0,10.0,9.0
9,9,9,9,9,0.045,8.2,5.04,2.92,5.0,10.2,5.0,12.0,6.8,6.0,4.0,5.0,14.4,8.2,2.0,7.0,15.2,6.0,10.0,12.0,10.0,9.0
10,10,10,10,10,0.05,8.32,4.96,2.88,5.04,10.1,5.2,11.6,7.0,5.9,4.0,4.9,14.0,8.3,2.0,7.0,18.0,6.0,10.0,12.0,10.0,8.0
11,11,11,11,11,0.055,8.32,5.16,2.92,4.92,10.1,5.2,11.9,7.0,5.9,4.0,5.0,13.7,8.7,2.0,7.0,17.0,6.0,9.8,13.0,10.0,9.0
12,12,12,12,12,0.06,8.32,5.04,2.88,5.0,10.8,5.2,12.4,7.0,5.8,4.0,4.9,13.9,8.2,1.8,7.0,18.4,6.0,9.4,12.0,10.0,9.0
13,13,13,13,13,0.065,8.48,5.0,2.84,5.16,10.5,5.2,11.8,6.8,6.0,4.0,5.0,15.5,8.8,1.8,6.8,17.4,5.8,10.0,13.0,10.0,8.0
14,14,14,14,14,0.07,8.36,4.96,3.0,5.0,10.2,5.3,12.5,6.9,5.9,4.0,4.9,14.5,8.4,2.0,7.0,17.2,6.2,10.0,14.0,10.0,8.0
15,15,15,15,15,0.075,8.6,5.28,2.92,5.04,10.9,5.2,12.2,6.9,6.0,4.0,4.9,14.2,8.7,2.0,7.0,18.2,6.0,10.0,13.0,10.0,8.0
16,16,16,16,16,0.08,8.08,5.12,3.0,5.08,10.2,5.3,12.4,6.9,6.0,4.0,4.9,15.2,7.9,2.0,7.0,18.0,6.0,9.6,12.0,10.0,9.0
17,17,17,17,17,0.085,8.36,5.16,2.84,5.16,10.8,5.7,12.2,6.6,6.0,4.0,5.0,15.0,8.6,1.8,7.0,17.6,6.2,9.8,13.0,10.0,9.0
18,18,18,18,18,0.09,8.52,5.0,2.92,5.2,10.7,5.6,12.8,6.9,5.8,4.0,5.0,15.2,8.8,2.0,7.2,17.4,6.0,9.6,13.0,10.0,9.0
19,19,19,19,19,0.095,8.44,5.08,2.92,4.92,10.6,5.4,13.4,6.8,6.1,4.0,4.9,15.0,8.3,1.8,7.0,18.6,6.4,10.0,13.0,10.0,9.0
