Network,Rn,Re,Rn_DNA,Re_DNA,Rn_BNA,Re_BNA,Rn_CNA,Re_CNA,Rn_CcNA,Re_CcNA
Dolphins,8.629032258064516,14.025157232704403,5.58,7.728813559322034,5.32,8.630952380952381,5.46,7.837209302325581,7.68,11.913461538461538
Polbooks,11.638095238095238,25.37641723356009,7.142857142857143,10.618320610687023,7.619047619047619,12.688524590163935,7.083333333333333,11.44973544973545,10.607142857142858,22.877551020408163
Word adjacencies,12.0,25.225882352941177,7.611111111111111,10.587719298245615,7.722222222222222,13.630434782608695,8.188888888888888,12.353846153846154,10.233333333333333,21.39864864864865
Karate,6.235294117647059,10.102564102564102,1.7037037037037037,2.230769230769231,1.962962962962963,2.2,2.3333333333333335,2.45,5.7407407407407405,9.67741935483871
Circuits1,14.049180327868852,21.75328947368421,4.979591836734694,5.436781609195402,2.2857142857142856,2.372093023255814,2.9489795918367347,2.686046511627907,9.540816326530612,18.99576271186441
bn-macaque-rhesus_brain_2,10.186813186813186,30.367697594501717,0.9863013698630136,0,0.9863013698630136,0,0.9863013698630136,0,10.986301369863014,27.915151515151514
soc-tribes,4.9411764705882355,10.894736842105264,4.285714285714286,7.658536585365853,4.357142857142857,7.906976744186046,4.357142857142857,7.658536585365853,4.285714285714286,9.568965517241379
bn-cat-mixed-species_brain_1,9.876923076923077,34.175342465753424,8.884615384615385,21.675324675324674,8.403846153846153,22.201277955271564,8.615384615384615,21.861736334405144,8.903846153846153,30.092198581560282
ca-sandi_auths,8.965116279069768,10.983870967741936,1.9420289855072463,2.054054054054054,1.6521739130434783,2.4324324324324325,2.463768115942029,3.2542372881355934,5.681159420289855,9.989010989010989
soc-firm-hi-tech,6.121212121212121,13.520325203252032,4.730769230769231,6.428571428571429,4.3076923076923075,6.205882352941177,5.153846153846154,6.542857142857143,5.769230769230769,12.759615384615385
CAG_mat72,10.166666666666666,33.48133333333333,8.758620689655173,22.23121387283237,8.741379310344827,24.30597014925373,9.155172413793103,22.76164383561644,9.086206896551724,29.687392055267704
ENZYMES123,3.4962962962962965,4.84251968503937,1.5092592592592593,1.64,1.787037037037037,1.9264705882352942,2.490740740740741,2.5128205128205128,3.6203703703703702,4.088888888888889
ENZYMES8,2.8368794326241136,3.654135338345865,1.7964601769911503,2.2830188679245285,1.9823008849557522,1.609375,2.0707964601769913,2.04,2.2389380530973453,3.0104166666666665
