,Network,Rn,d,Rn_D,Rn_B,Rn_Clo,Rn_Clu
0,Dolphins,14.79874213836478,0.1,11.306435643564356,11.51965811965812,11.184684684684685,13.363358778625955
1,Polbooks,25.253968253968253,0.1,17.96404958677686,19.409010600706715,20.15878787878788,24.35137157107232
2,Word adjacencies,25.656470588235294,0.1,16.597549019607843,16.534158415841585,17.142990654205608,23.705390835579514
3,Karate,11.23076923076923,0.1,5.370588235294117,5.497058823529412,5.1875,9.947857142857142
4,Circuits1,21.00328947368421,0.1,6.749159663865546,6.802049180327869,6.498319327731092,20.275539568345323
5,bn-macaque-rhesus_brain_2,30.517182130584192,0.1,9.020192307692307,9.143396226415094,9.006730769230769,29.139003759398495
6,soc-tribes,10.855263157894736,0.1,8.673,8.91826923076923,8.709,9.949242424242424
7,bn-cat-mixed-species_brain_1,34.19315068493151,0.1,27.928004073319755,28.157753479125248,27.89653767820774,32.75007374631269
8,ca-sandi_auths,10.387096774193548,0.1,2.370754716981132,2.9484126984126986,3.245890410958904,10.216190476190476
9,soc-firm-hi-tech,13.471544715447154,0.1,9.298387096774194,9.272580645161291,9.371774193548386,13.261206896551725
10,CAG_mat72,34.26266666666667,0.1,26.690146750524107,27.930550098231826,26.75733752620545,32.774927113702624
11,ENZYMES123,4.94488188976378,0.1,2.442948717948718,2.759677419354839,4.5235,4.577722772277228
12,ENZYMES8,3.1353383458646618,0.1,2.279746835443038,2.204945054945055,2.272340425531915,2.6792792792792794
13,Dolphins,14.540880503144654,0.2,7.856779661016949,8.788690476190476,8.498837209302327,11.940865384615385
14,Polbooks,25.947845804988663,0.2,10.386641221374045,11.897814207650274,13.677777777777777,22.600583090379008
15,Word adjacencies,25.289411764705882,0.2,11.081140350877194,13.455797101449276,12.401923076923078,21.070777027027027
16,Karate,10.782051282051283,0.2,2.292307692307692,2.2,2.425,9.410483870967742
17,Circuits1,21.05263157894737,0.2,4.916091954022988,2.4563953488372094,2.941860465116279,18.904661016949152
18,bn-macaque-rhesus_brain_2,30.108247422680414,0.2,0.0,0.0,0.0,28.16070707070707
19,soc-tribes,10.842105263157896,0.2,7.754878048780488,7.9511627906976745,7.759756097560976,9.36551724137931
20,bn-cat-mixed-species_brain_1,34.12739726027397,0.2,21.805194805194805,21.994249201277956,21.87475884244373,30.024556737588654
21,ca-sandi_auths,10.411290322580646,0.2,2.093243243243243,2.4567567567567568,2.795762711864407,9.583516483516483
22,soc-firm-hi-tech,13.674796747967479,0.2,6.261428571428572,5.958823529411765,6.274285714285714,12.7
23,CAG_mat72,34.2,0.2,22.3985549132948,24.518532338308457,23.21835616438356,30.046545768566492
24,ENZYMES123,5.291338582677166,0.2,1.574,2.0272058823529413,2.575641025641026,4.355555555555555
25,ENZYMES8,2.8421052631578947,0.2,2.2358490566037736,1.84375,2.1666666666666665,2.6869791666666667
26,Dolphins,14.79245283018868,0.3,5.5472222222222225,5.789130434782609,6.9816666666666665,10.11346153846154
27,Polbooks,25.421768707482993,0.3,4.80126582278481,5.4727722772277225,10.384469696969697,20.30583038869258
28,Word adjacencies,25.64470588235294,0.3,7.2791044776119405,8.64931506849315,9.58465909090909,18.286607142857143
29,Karate,11.064102564102564,0.3,2.177777777777778,2.0272727272727273,2.3,8.948214285714286
30,Circuits1,20.62171052631579,0.3,1.9894736842105263,1.8368852459016394,1.9889830508474575,17.17651515151515
31,bn-macaque-rhesus_brain_2,30.580756013745706,0.3,0.0,0.0,0.0,27.16948051948052
32,soc-tribes,11.105263157894736,0.3,6.148148148148148,6.317857142857143,6.148148148148148,8.319565217391304
33,bn-cat-mixed-species_brain_1,34.102739726027394,0.3,17.13888888888889,17.123350253807107,17.317733990147783,27.109219088937095
34,ca-sandi_auths,11.612903225806452,0.3,1.5058823529411764,1.3657894736842104,2.3170212765957445,8.416216216216217
35,soc-firm-hi-tech,13.373983739837398,0.3,4.789130434782608,3.6184210526315788,4.8500000000000005,11.803296703296704
36,CAG_mat72,34.45466666666667,0.3,18.640283400809718,20.510987261146497,15.138162544169612,26.321076233183856
37,ENZYMES123,4.850393700787402,0.3,1.237142857142857,1.6010416666666667,2.018421052631579,3.9606666666666666
38,ENZYMES8,3.1578947368421053,0.3,1.592857142857143,1.8270833333333334,1.7692982456140351,2.7147058823529413
39,Dolphins,14.679245283018869,0.4,4.54,2.936,6.203,8.072115384615385
40,Polbooks,25.612244897959183,0.4,3.443396226415094,4.57734375,5.845294117647059,18.169690265486725
41,Word adjacencies,25.463529411764707,0.4,4.325609756097561,4.5094594594594595,6.66,14.774013157894737
42,Karate,10.897435897435898,0.4,0.6666666666666666,0.9400000000000001,2.095,8.065555555555555
43,Circuits1,21.467105263157894,0.4,1.8976190476190475,1.6453488372093024,1.994186046511628,15.78452380952381
44,bn-macaque-rhesus_brain_2,30.467353951890033,0.4,0.0,0.0,0.0,24.840932642487047
45,soc-tribes,11.105263157894736,0.4,4.334375,4.259375,4.278125,6.746774193548387
46,bn-cat-mixed-species_brain_1,34.083561643835615,0.4,8.750763358778626,14.239084507042254,9.276838235294118,24.633552631578947
47,ca-sandi_auths,12.129032258064516,0.4,1.0444444444444445,1.4166666666666667,2.3833333333333333,7.20625
48,soc-firm-hi-tech,13.731707317073171,0.4,2.5545454545454547,1.87,2.4772727272727275,10.964935064935064
49,CAG_mat72,33.79066666666667,0.4,15.021978021978022,15.661486486486487,11.691951219512195,23.29927536231884
50,ENZYMES123,5.21259842519685,0.4,1.2465517241379311,1.2285714285714286,1.2458333333333333,2.893220338983051
51,ENZYMES8,3.8345864661654137,0.4,1.7383333333333333,1.8973684210526316,1.8147727272727272,2.5318181818181817
52,Dolphins,14.50314465408805,0.5,1.8666666666666667,1.825,5.3,6.033333333333333
53,Polbooks,25.5578231292517,0.5,2.5733333333333333,3.2564102564102564,4.325833333333334,16.531451612903226
54,Word adjacencies,25.56705882352941,0.5,1.8772727272727272,1.6466666666666667,3.1564516129032256,11.247849462365592
55,Karate,10.448717948717949,0.5,0.0,0.0,1.02,6.9125
56,Circuits1,21.43092105263158,0.5,1.8583333333333334,1.6884615384615385,2.0775862068965516,13.950375939849625
57,bn-macaque-rhesus_brain_2,30.510309278350515,0.5,0.0,0.0,0.0,20.996739130434783
58,soc-tribes,10.763157894736842,0.5,3.876923076923077,3.2227272727272727,3.8653846153846154,5.733333333333333
59,bn-cat-mixed-species_brain_1,34.224657534246575,0.5,5.857228915662651,7.066477272727273,6.2567415730337075,21.75
60,ca-sandi_auths,11.96774193548387,0.5,1.0285714285714285,1.35,2.574242424242424,4.804054054054054
61,soc-firm-hi-tech,13.8130081300813,0.5,1.7333333333333334,1.0125,1.7166666666666666,9.721311475409836
62,CAG_mat72,34.04533333333333,0.5,12.002941176470587,14.294940476190476,7.146825396825397,19.969656488549617
63,ENZYMES123,5.4015748031496065,0.5,1.2441176470588236,1.2088235294117649,1.2205882352941178,2.125
64,ENZYMES8,3.2330827067669174,0.5,1.0714285714285714,1.4289473684210527,1.8364864864864865,2.3
