,Name,V,E,GCC,ACC,ASP,r,diam,d
0,Dolphins,62,159,0.3087757313109426,0.25895824605502027,3.3569539925965097,-0.04359402821531252,8,0.08408249603384453
1,Polbooks,105,441,0.34840315221899626,0.48752679123173137,3.078754578754579,-0.127896009666719,7,0.08076923076923077
2,Word adjacencies,112,425,0.15693497881746177,0.1728400798103679,2.5355534105534105,-0.12934785343900138,5,0.06837194337194337
3,Karate,34,78,0.2556818181818182,0.5706384782076823,2.408199643493761,-0.47561309768461457,5,0.13903743315508021
4,USAir97,332,2126,0.3963921942964996,0.625217249162503,2.7381247042550867,-0.20787623081200438,6,0.0386925344884068
5,Circuits1,122,189,0.05736137667304015,0.05909445745511318,4.927787562660886,-0.0020127445270477586,11,0.02560628641105541
6,E. Coli,1565,3742,0.015541519639834961,0.21164149391862885,3.5790861869349904,-0.3410762913248029,9,0.003057614211124094
7,Barabasi_albert_graph,500,1491,0.02669902912621359,0.04960298100082736,3.2380280561122246,-0.120363333282849,5,0.01195190380761523
8,facebook348,448,6384,0.0,0.0,3.0253076062639823,0.22269166051622497,10,0.06375838926174497
9,facebook414,300,3386,0.0,0.0,3.1917544663307376,0.3064210522142954,8,0.07549609810479375
10,bio-celegans,758,2025,0.0,0.0,3.7293528154455307,-0.2233166438405537,11,0.007058134630868272
11,bn-macaque-rhesus_brain_2,102,628,0.0,0.0,1.9671908367307318,-0.8603207604476512,4,0.12191807416035721
12,soc-tribes,17,76,0.6131045241809673,0.6488201341142517,1.4485294117647058,-0.07918338094621843,2,0.5588235294117647
13,fb-pages-food,620,2102,0.22264084150905228,0.3308970263553271,5.088696649121893,-0.028203795222469928,17,0.0109541925061233
14,bn-cat-mixed-species_brain_1,65,730,0.5747388514767485,0.661366160814222,1.6995192307692308,-0.025391337049728915,3,0.35096153846153844
15,ca-sandi_auths,86,200,0.12732417138237673,0.41428276718974394,2.496580027359781,-0.26371936027592524,5,0.05471956224350205
16,soc-firm-hi-tech,33,123,0.3874709976798144,0.6705116697267811,1.768939393939394,-0.2557131450293245,2,0.23295454545454544
